track,tempo,mfcc_var,spectral_centroid_mean,spectral_flatness_mean,spectral_contrast_mean,onset_strength_mean,pitch_range,tempo,energy,danceability,valence,loudness,duration_ms
Kick It,[161.49902344],716.9935,2655.461646,0.035007287,21.89663664,1.6321174,3854.4233,147.95,0.92,0.78,0.53,-3.8,198000
2 Baddies,[86.1328125],792.4949,2625.322497,0.034904543,20.79328215,1.540898,3854.0645,131.01,0.9,0.76,0.5,-4.1,215000
Ay yo,[89.10290948],998.89026,2489.159389,0.0271718,21.70515666,1.593173,3854.3997,130.6,0.91,0.75,0.5,-3.9,208000
Cherry Bomb,[78.30255682],997.36536,2425.999257,0.021734979,21.71557544,1.6213762,3854.0103,122,0.82,0.67,0.32,-5.6,241000
Simon Says,[151.99908088],2130.4578,2378.761073,0.06390815,21.68868777,1.4175472,3854.2632,135,0.86,0.65,0.4,-4.3,203000
Fact Check,[129.19921875],856.53986,2678.954102,0.040721804,21.21177421,1.5155749,3854.317,151.99,0.88,0.7,0.48,-4.5,202000
Sticker ,[151.99908088],1011.8571,2484.43928,0.024831831,23.2021643,1.8311701,3854.4197,160.04,0.85,0.72,0.45,-4.9,211000
Superhuman,,,,,,,,123.5,0.89,0.73,0.55,-4,210000
Fire Truck,,,,,,,,140,0.93,0.74,0.49,-4.2,225000
Favorite (Vampire),,,,,,,,118.3,0.87,0.68,0.46,-5,218000